feedbacktemplate,Class Feedback (Mandatory),Engineering Management,US/Pacific,2022-12-07,21:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Leadership Interview Patterns Post-Class Assignment,Engineering Management,US/Pacific,2022-12-07,21:20:00,,,Remote Only,Complete the Assignment,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Leadership Workshop 1,Engineering Management,US/Pacific,2022-12-11,9:00:00,2022-12-11,11:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,,Scheduled,US/Pacific,EMLW01
feedbacktemplate,Class Feedback (Mandatory),Engineering Management,US/Pacific,2022-12-11,11:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Leadership Workshop 2,Engineering Management,US/Pacific,2022-12-15,18:00:00,2022-12-15,20:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,,Scheduled,US/Pacific,EMLW02
feedbacktemplate,Class Feedback (Mandatory),Engineering Management,US/Pacific,2022-12-15,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Leadership Workshop 3,Engineering Management,US/Pacific,2022-12-18,9:00:00,2022-12-18,11:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,,Scheduled,US/Pacific,EMLW03
feedbacktemplate,Class Feedback (Mandatory),Engineering Management,US/Pacific,2022-12-18,11:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,Domain Program Feedback Form,Engineering Management,US/Pacific,2022-12-22,17:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Leadership Workshop 4,Engineering Management,US/Pacific,2022-12-22,18:00:00,2022-12-22,20:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,,Scheduled,US/Pacific,EMLW04
feedbacktemplate,Class Feedback (Mandatory),Engineering Management,US/Pacific,2022-12-22,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Sorting Algorithms Foundations - New,Sorting Algorithms,US/Pacific,2022-12-22,20:05:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Sorting Algorithms Class,Sorting Algorithms,US/Pacific,2022-12-25,8:45:00,2022-12-25,14:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Sorting with Omkar Deshpande;Alternative Class - Sorting Slides by Omkar Deshpande;Alternative Class - Sorting Slides by Abhishek Gunasekar;Alternative Class - Sorting Slides by Sanjeev Qazi;Alternative Class - Sorting with Abhishek Gunasekar;Alternative Class - Sorting with Sanjeev Qazi,,US/Pacific,CGSG01
feedbacktemplate,Class Feedback (Mandatory),Sorting Algorithms,US/Pacific,2022-12-25,14:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Sorting Algorithms Practice - Problem Set 1 - New,Sorting Algorithms,US/Pacific,2022-12-25,14:20:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Sorting Class Problems,Sorting Algorithms,US/Pacific,2022-12-25,14:25:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Sorting Material - New,Sorting Algorithms,US/Pacific,2022-12-25,14:30:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Sorting Practice Problem Review Session,Sorting Algorithms,US/Pacific,2022-12-29,18:00:00,2022-12-29,20:00:00,Remote Only,Attend Test Class,enabled,Test Review Class Feedback,<p><br></p>,On Scheduled Date,,,Alternative Class - Sorting Practice Problem Review with Omkar;Alternative Class - Sorting Practice Problem Review by Shashi Bhushan;Alternative Class - Sorting Practice Problem Review with Raghuram,,US/Pacific,CGSGT1
feedbacktemplate,Class Feedback (Mandatory),Sorting Algorithms,US/Pacific,2022-12-29,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Recursion Foundation - New,Recursion & Backtracking,US/Pacific,2022-12-29,20:05:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Recursion Class,Recursion & Backtracking,US/Pacific,2023-01-08,8:45:00,2023-01-08,14:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Recursion with Omkar Deshpande;Alternative Class - Recursion Slides by Omkar Deshpande;Alternative Class - Recursion Slides by Abdul Salama;Alternative Class - Recursion Slides by Miles Rufatlatre;Alternative Class - Recursion with Abdul Salama;Alternative Class - Recursion with Miles Rufatlatre,,US/Pacific,CGRN02
feedbacktemplate,Class Feedback (Mandatory),Recursion & Backtracking,US/Pacific,2023-01-08,14:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Recursion Practice - Problem Set 1 - New,Recursion & Backtracking,US/Pacific,2023-01-08,14:20:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
